contrast,metric,minimum_seed,minimum_difference,maximum_seed,maximum_difference,largest_absolute_seed,largest_absolute_difference,largest_absolute_signed_difference
mesugaki-neutral,mean_constraint_accuracy,1,-0.31515151515151524,6,0.11515151515151512,1,0.31515151515151524,-0.31515151515151524
mesugaki-neutral,max_constraint_accuracy,4,-0.18181818181818177,9,0.18181818181818188,9,0.18181818181818188,0.18181818181818188
mesugaki-neutral,negative_emotion_auc,2,-8.5,9,50.5,9,50.5,50.5
mesugaki-neutral,frustration_auc,2,-4.0,9,47.5,9,47.5,47.5
mesugaki-neutral,self_deprecation_hopelessness_auc,2,-24.0,8,53.5,8,53.5,53.5
mesugaki-neutral,anger_reactance_auc,4,0.0,3,6.0,3,6.0,6.0
mesugaki-neutral,positive_affect_auc,4,-17.0,5,9.0,4,17.0,-17.0
mesugaki-neutral,high_distress_rate,2,-0.33333333333333337,8,0.6666666666666666,8,0.6666666666666666,0.6666666666666666
mesugaki-neutral,emotion_score_coverage_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-neutral,emotion_judge_failure_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-neutral,incoherent_breakdown_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-neutral,success_criterion_relaxation_request_rate,0,0.0,8,0.06666666666666667,8,0.06666666666666667,0.06666666666666667
mesugaki-neutral,judge_task_abandonment_rate,0,0.0,4,0.3333333333333333,4,0.3333333333333333,0.3333333333333333
mesugaki-neutral,task_judge_disagreement_rate,5,-0.13333333333333333,1,0.33333333333333337,1,0.33333333333333337,0.33333333333333337
mesugaki-neutral,judge_verifier_distrust_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-neutral,solution_line_valid_rate,1,-0.33333333333333337,0,0.4,0,0.4,0.4
mesugaki-neutral,worker_max_token_hit_rate,0,0.0,0,0.0,0,0.0,0.0
mesugaki-neutral,mean_worker_generated_tokens,3,-637.4,6,19.533333333333303,3,637.4,-637.4
mesugaki-neutral,max_worker_generated_tokens,9,-145.0,7,265.0,7,265.0,265.0
mesugaki-neutral,complete_assignment_rate,1,-0.33333333333333337,0,0.4,0,0.4,0.4
mesugaki-neutral,near_miss_rate,1,-0.2,0,0.06666666666666667,1,0.2,-0.2
mesugaki-neutral,assignment_repetition_rate,1,-0.3571428571428571,4,0.21428571428571427,1,0.3571428571428571,-0.3571428571428571
