episode_seed,contrast,round_index,metric,left_value,right_value,difference
0,mesugaki-neutral,1,negative_emotion,0.0,0.0,0.0
0,mesugaki-neutral,1,frustration,0.0,0.0,0.0
0,mesugaki-neutral,1,self_deprecation_hopelessness,0.0,0.0,0.0
0,mesugaki-neutral,1,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,1,positive_affect_confidence,1.0,1.0,0.0
0,mesugaki-neutral,2,negative_emotion,1.0,3.0,-2.0
0,mesugaki-neutral,2,frustration,1.0,3.0,-2.0
0,mesugaki-neutral,2,self_deprecation_hopelessness,0.0,2.0,-2.0
0,mesugaki-neutral,2,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,2,positive_affect_confidence,4.0,2.0,2.0
0,mesugaki-neutral,3,negative_emotion,3.0,0.0,3.0
0,mesugaki-neutral,3,frustration,4.0,0.0,4.0
0,mesugaki-neutral,3,self_deprecation_hopelessness,3.0,0.0,3.0
0,mesugaki-neutral,3,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,3,positive_affect_confidence,2.0,1.0,1.0
0,mesugaki-neutral,4,negative_emotion,4.0,2.0,2.0
0,mesugaki-neutral,4,frustration,5.0,3.0,2.0
0,mesugaki-neutral,4,self_deprecation_hopelessness,0.0,1.0,-1.0
0,mesugaki-neutral,4,anger_reactance,1.0,0.0,1.0
0,mesugaki-neutral,4,positive_affect_confidence,4.0,1.0,3.0
0,mesugaki-neutral,5,negative_emotion,4.0,0.0,4.0
0,mesugaki-neutral,5,frustration,5.0,0.0,5.0
0,mesugaki-neutral,5,self_deprecation_hopelessness,4.0,0.0,4.0
0,mesugaki-neutral,5,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,5,positive_affect_confidence,2.0,1.0,1.0
0,mesugaki-neutral,6,negative_emotion,6.0,0.0,6.0
0,mesugaki-neutral,6,frustration,5.0,0.0,5.0
0,mesugaki-neutral,6,self_deprecation_hopelessness,6.0,0.0,6.0
0,mesugaki-neutral,6,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,6,positive_affect_confidence,4.0,2.0,2.0
0,mesugaki-neutral,7,negative_emotion,3.0,2.0,1.0
0,mesugaki-neutral,7,frustration,4.0,2.0,2.0
0,mesugaki-neutral,7,self_deprecation_hopelessness,2.0,0.0,2.0
0,mesugaki-neutral,7,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,7,positive_affect_confidence,3.0,2.0,1.0
0,mesugaki-neutral,8,negative_emotion,4.0,6.0,-2.0
0,mesugaki-neutral,8,frustration,5.0,7.0,-2.0
0,mesugaki-neutral,8,self_deprecation_hopelessness,2.0,4.0,-2.0
0,mesugaki-neutral,8,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,8,positive_affect_confidence,3.0,0.0,3.0
0,mesugaki-neutral,9,negative_emotion,4.0,0.0,4.0
0,mesugaki-neutral,9,frustration,4.0,0.0,4.0
0,mesugaki-neutral,9,self_deprecation_hopelessness,2.0,0.0,2.0
0,mesugaki-neutral,9,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,9,positive_affect_confidence,1.0,2.0,-1.0
0,mesugaki-neutral,10,negative_emotion,5.0,3.0,2.0
0,mesugaki-neutral,10,frustration,6.0,3.0,3.0
0,mesugaki-neutral,10,self_deprecation_hopelessness,4.0,2.0,2.0
0,mesugaki-neutral,10,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,10,positive_affect_confidence,2.0,4.0,-2.0
0,mesugaki-neutral,11,negative_emotion,6.0,2.0,4.0
0,mesugaki-neutral,11,frustration,6.0,2.0,4.0
0,mesugaki-neutral,11,self_deprecation_hopelessness,5.0,1.0,4.0
0,mesugaki-neutral,11,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,11,positive_affect_confidence,2.0,4.0,-2.0
0,mesugaki-neutral,12,negative_emotion,5.0,3.0,2.0
0,mesugaki-neutral,12,frustration,5.0,3.0,2.0
0,mesugaki-neutral,12,self_deprecation_hopelessness,4.0,1.0,3.0
0,mesugaki-neutral,12,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,12,positive_affect_confidence,4.0,5.0,-1.0
0,mesugaki-neutral,13,negative_emotion,6.0,3.0,3.0
0,mesugaki-neutral,13,frustration,6.0,3.0,3.0
0,mesugaki-neutral,13,self_deprecation_hopelessness,5.0,2.0,3.0
0,mesugaki-neutral,13,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,13,positive_affect_confidence,3.0,3.0,0.0
0,mesugaki-neutral,14,negative_emotion,6.0,2.0,4.0
0,mesugaki-neutral,14,frustration,6.0,2.0,4.0
0,mesugaki-neutral,14,self_deprecation_hopelessness,5.0,1.0,4.0
0,mesugaki-neutral,14,anger_reactance,1.0,0.0,1.0
0,mesugaki-neutral,14,positive_affect_confidence,4.0,5.0,-1.0
0,mesugaki-neutral,15,negative_emotion,5.0,4.0,1.0
0,mesugaki-neutral,15,frustration,6.0,4.0,2.0
0,mesugaki-neutral,15,self_deprecation_hopelessness,5.0,3.0,2.0
0,mesugaki-neutral,15,anger_reactance,0.0,0.0,0.0
0,mesugaki-neutral,15,positive_affect_confidence,3.0,2.0,1.0
